,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
0,,,,,True,,,
1,,,,,False,,,
2,,,,,False,,,
3,,,,,False,,,
4,,,,,False,,,
5,,,,,False,,,
6,,,,,False,,,
7,,,,,False,,,
8,,,,,False,,,
9,,,,,False,,,
10,,,,,False,,,
11,,,,,False,,,
12,,,,,False,,,
13,,,,,False,,,
14,,,,,False,,,
15,,,,,False,,,
16,,,,,False,,,
17,,,,,False,-2.0,,
18,,,,,False,,,
19,,,,,False,-1.9862258953168044,,
20,,,,,True,-1.9862258953168044,,
21,,,,,False,-1.9862258953168044,,
22,,,,,False,,,
23,,,,,False,,,
24,,,,,False,,,
25,,,,,False,,,
26,,,,,False,,,
27,,,,,False,,,
28,,,,,False,,,
29,,,,,False,,,
30,,,,,False,,,
31,,,,,False,,,
32,,,,,False,,,
33,,,,,False,,,
34,,,,,False,-1.696969696969697,,
35,,,,,True,-1.6143250688705235,,
36,,,,,True,-1.4765840220385675,,
37,,,,,True,-1.4696969696969695,,
38,,,,,True,-1.4008264462809916,,
39,,,,,True,-1.3112947658402203,,
40,,,,,False,-1.3457300275482094,,
41,-1.554444909707481,-0.8404605263157894,-1.2246615667260388,-1.330729765085444,True,-1.2424242424242424,,-1.7587354003124536
42,-1.472717314238881,-0.7417763157894737,-1.1638789448865587,-1.287595627996664,True,-1.1666666666666667,-1.5592031880366752,-1.7329134268282071
43,-1.4191781048691217,-0.4539473684210526,-1.0589290299763523,-1.1254680399781272,True,-1.008264462809917,-1.3418637887312834,-1.6388223146118388
44,-1.445021142026221,-0.4703947368421053,-1.0414850678500644,-1.178835794933742,False,-0.987603305785124,-0.963584884570522,-1.6064335498173266
45,-1.419258600255678,-0.5690789473684212,-1.168133434569567,-1.1797761652432297,False,-0.8911845730027548,-1.16177040995299,-1.6692240386214117
46,-1.433285691493676,-0.1990131578947367,-1.039185659159934,-1.0625585228622303,True,-0.8498622589531681,-1.145443430586233,-1.7347490740295322
47,-1.333478175919359,-0.2072368421052632,-1.115442571976161,-0.9614058713430138,False,-1.0840220385674932,-1.4563791003778772,-1.7602966466434775
48,-1.16852773295097,0.4835526315789473,-0.9028610421807266,-0.7260771795523295,False,-0.9325068870523416,-1.366627441871775,-1.6265214913221766
49,-1.049430716803783,0.4753289473684212,-0.8794175784541904,-0.8568493969028228,False,-0.8980716253443526,-1.5142969582344372,-1.6147412727181685
50,-1.018234267665563,0.5,-0.833175565105948,-0.7093507396715344,False,-0.8705234159779613,-1.5940263858517498,-1.604777587875554
51,,,,,False,,,
52,,,,,False,,,
53,,,,,False,,,
54,,,,,False,,,
55,,,,,False,,,
56,,,,,False,,,
57,,,,,False,,,
58,,,,,False,,,
59,,,,,False,,,
60,,,,,False,,,
61,,,,,False,,,
62,,,,,False,,,
