,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,-2.0,-2.0,,
18,,,,,,,,
19,,,,,-1.9823805794831637,-1.9862258953168044,,
20,,,,,-1.947141738449491,-1.9862258953168044,,
21,,,,,-1.9628034455755676,-1.9862258953168044,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,-1.5536413469068129,-1.696969696969697,,
35,,,,,-1.402897415818324,-1.6143250688705235,,
36,,,,,-1.2658574784651528,-1.4765840220385675,,
37,,,,,-1.1483946750195773,-1.4696969696969697,,
38,,,,,-1.1131558339859045,-1.4008264462809916,,
39,,,,,-1.0622552858261551,-1.3112947658402203,,
40,,,,,-1.191464369616288,-1.3457300275482094,,
41,-1.554444909707481,-0.8404605263157894,-1.2246615667260388,-1.330729765085444,-1.1640563821456538,-1.2424242424242424,,-1.7587354003124536
42,-1.472717314238881,-0.7417763157894737,-1.1638789448865587,-1.287595627996664,-1.1092404072043853,-1.1666666666666667,-1.5592031880366752,-1.7329134268282071
43,-1.4191781048691217,-0.45394736842105265,-1.0589290299763523,-1.1254680399781272,-0.9584964761158967,-1.0082644628099173,-1.3418637887312834,-1.6388223146118388
44,-1.4450211420262207,-0.4703947368421053,-1.0414850678500644,-1.178835794933742,-0.999608457321848,-0.9876033057851239,-0.9635848845705219,-1.6064335498173266
45,-1.419258600255678,-0.5690789473684212,-1.168133434569567,-1.1797761652432297,-1.0896632732967895,-0.8911845730027548,-1.16177040995299,-1.6692240386214117
46,-1.433285691493676,-0.19901315789473673,-1.039185659159934,-1.0625585228622305,-0.9722004698512139,-0.8498622589531681,-1.145443430586233,-1.7347490740295322
47,-1.333478175919359,-0.20723684210526327,-1.115442571976161,-0.9614058713430138,,-1.0840220385674932,-1.4563791003778772,-1.7602966466434775
48,-1.16852773295097,0.48355263157894735,-0.9028610421807266,-0.7260771795523295,,-0.9325068870523416,-1.366627441871775,-1.6265214913221766
49,-1.049430716803783,0.47532894736842124,-0.8794175784541904,-0.8568493969028228,,-0.8980716253443526,-1.5142969582344372,-1.6147412727181685
