,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
8,847640.3,167.0,304891.0,552745.99,455.0,121.0,832542.4,28654.99
9,927587.9,202.0,340857.0,670156.0,532.0,144.0,1237937.4,38598.99
10,888997.7,200.0,346834.99,631507.99,511.0,147.0,1943526.8,42021.99
11,927467.7,188.0,303433.0,630826.99,465.0,161.0,1573858.8,35385.99
12,906521.7,233.0,347622.99,715713.99,525.0,167.0,1604312.9,28460.99
8,460323.1,96.0,198324.0,455635.0,491.0,62.0,362142.0,215714.0
9,860796.9,105.0,196106.0,321641.0,426.0,59.0,377209.4,210980.0
10,617958.1,105.0,207735.99,351782.99,446.0,65.0,713210.1,264639.99
11,642201.4,114.0,187179.0,320303.0,386.0,61.0,642841.3,119433.99
12,535659.3,115.0,171111.99,298284.99,148.0,26.0,100845.5,77255.99
8,1475211.0,193.0,469602.0,1066258.0,747.0,207.0,1096575.8,71010.99
9,1633443.39,202.0,558295.99,1010432.0,580.0,158.0,889156.09,70116.99
10,1807069.9,215.0,601806.0,1243937.0,716.0,202.0,1169831.8,89355.99
11,1689557.2,240.0,559686.99,1107175.0,628.0,182.0,1128696.39,80309.99
12,1882464.6,223.0,708452.99,898351.99,520.0,135.0,824402.8,46704.0
8,1360547.0,182.0,422787.0,1054905.0,756.0,170.0,3369786.7,48953.0
9,1575651.7,216.0,464148.0,1133376.0,943.0,283.0,4059567.7,67610.0
10,1760334.49,240.0,612214.99,1376087.0,1091.0,314.0,4673496.59,78458.99
11,1777793.29,211.0,478637.99,1057170.0,1030.0,335.0,4007826.49,61407.0
12,1650461.0,219.0,382842.0,1087642.0,803.0,330.0,583965.1,55116.0
8,1572685.8,97.0,355165.0,711008.99,1217.0,273.0,2428267.29,141962.99
9,1955636.6,117.0,381531.99,851551.99,1277.0,277.0,3045301.4,145444.99
10,2365089.29,148.0,568176.0,1049637.0,1275.0,283.0,3282565.7,153550.0
11,2344230.19,150.0,531256.0,1048371.0,1176.0,286.0,2043621.3,124112.99
12,1782228.9,150.0,405406.0,927453.99,972.0,268.0,1236094.7,97179.0
8,682851.5,72.0,233474.0,473038.99,530.0,166.0,374710.7,41731.0
9,886018.9,75.0,296926.0,644655.0,602.0,191.0,409964.0,50451.0
10,1041200.4,83.0,315899.0,644636.0,623.0,209.0,498576.1,55169.99
11,1070380.5,85.0,287193.0,546901.0,673.0,226.0,363030.4,51012.0
12,1108145.6,150.0,248838.0,502052.0,545.0,206.0,256106.5,41408.0
8,265508.0,127.0,96165.99,262723.99,212.0,57.0,90287.0,4741.0
9,269770.3,131.0,99764.99,237811.0,204.0,57.0,65678.1,9654.0
10,269770.3,131.0,99764.99,237811.0,227.0,60.0,107217.5,13558.99
11,425207.4,105.0,105235.0,241903.0,181.0,61.0,77012.1,5633.0
12,720724.6,120.0,129922.99,288012.0,349.0,79.0,99650.1,5923.0
8,598606.1,175.0,246365.99,484243.0,238.0,48.0,162833.2,27095.0
9,773250.8,193.0,302553.0,628779.99,237.0,57.0,270302.6,37371.99
10,791893.1,233.0,309924.0,626896.0,179.0,42.0,180425.8,19900.0
11,733217.6,203.0,251684.99,454142.99,201.0,42.0,128609.3,20968.0
12,733627.8,241.0,244628.0,436745.99,139.0,51.0,115051.2,24473.0
8,60273.7,15.0,33819.0,61074.0,37.0,11.0,13826.0,662.0
9,74517.0,17.0,36229.99,52955.0,21.0,7.0,26896.5,806.0
10,80108.0,19.0,38298.0,59516.0,23.0,9.0,34748.1,1165.0
11,81551.4,17.0,25763.0,60613.99,34.0,9.0,30204.9,989.0
12,80778.7,20.0,23485.0,50786.0,52.0,9.0,13598.6,789.0
8,240483.9,34.0,64474.0,184060.0,80.0,27.0,70061.4,4964.0
9,246157.7,36.0,69016.0,165633.99,82.0,25.0,46698.7,5898.0
10,220832.0,21.0,65134.0,175784.99,87.0,31.0,272510.0,6355.0
11,386540.4,41.0,93941.99,476831.99,88.0,43.0,22957.5,6624.99
12,433603.0,50.0,98906.0,662261.0,95.0,43.0,25292.2,5734.0
8,493720.7,60.0,115347.99,245460.0,483.0,128.0,269156.2,27697.99
9,501149.79,59.0,116991.99,244804.99,439.0,131.0,262660.59,25024.0
10,491025.7,61.0,115645.99,219681.0,500.0,139.0,274363.7,37935.99
11,417181.4,58.0,94822.99,198855.99,516.0,149.0,266895.59,41458.99
12,535920.4,67.0,70491.99,168025.99,418.0,116.0,309415.2,30996.99
10,1646036.2,101.0,401671.99,864815.99,534.0,174.0,303289.8,39823.99
11,1642570.1,107.0,345848.99,879985.99,588.0,218.0,374744.2,34349.0
12,1689217.5,138.0,349311.99,942451.99,944.0,218.0,907328.1,33267.0
8,2040628.19,138.0,308806.0,886058.99,325.0,96.0,250289.59,26776.99
9,2465505.6,164.0,397251.0,1280459.0,436.0,114.0,262968.49,30207.0
10,2720895.1,180.0,456728.99,1376499.0,500.0,148.0,299289.9,36163.0
11,2954950.8,182.0,423365.99,1321813.99,553.0,161.0,359773.9,37618.99
12,2515767.7,201.0,398958.99,1068336.0,370.0,118.0,982987.6,16736.0
8,826791.3,59.0,106999.0,418013.0,92.0,8.0,11165.1,1216.0
9,942051.0,72.0,162944.0,490666.99,60.0,18.0,45649.2,5615.0
10,905200.6,63.0,144552.99,450729.0,62.0,25.0,69404.7,6857.0
11,871948.1,64.0,114508.99,415274.0,64.0,27.0,67535.1,5664.0
12,908662.89,81.0,157285.0,302406.0,110.0,26.0,269673.9,4316.0
