,year,71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),71140000000 Ямало-Ненецкий автономный округ (Тюменская область),71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),84000000000 Республика Алтай,81000000000 Республика Бурятия,93000000000 Республика Тыва,95000000000 Республика Хакасия,01000000000 Алтайский край,76000000000 Забайкальский край,04000000000 Красноярский край,25000000000 Иркутская область,50000000000 Новосибирская область,52000000000 Омская область,69000000000 Томская область
0,2002,,,,,,,,,,,,,,
1,2004,,,,,,,,,,,,,,
2,2005,,,,,,,,,,,,,,
3,2006,,,,,,,,,,,,,,
4,2007,,,,,,,,,,,,,,
5,2008,,,,,,,,,,,,,,
6,2009,,,,,,,,,,,,,,
7,2010,,,,,,,,,,,,,,
8,2011,"250289,59","11165,1",,90287,"162833,2",13826,"70061,4","832542,4",362142,"3369786,7","1096575,8","2428267,29","374710,7","269156,2"
9,2012,"262968,49","45649,2",,"65678,1","270302,6","26896,5","46698,7","1237937,4","377209,4","4059567,7","889156,09","3045301,4",409964,"262660,59"
10,2013,"299289,9","69404,7","303289,8","107217,5","180425,8","34748,1",272510,"1943526,8","713210,1","4673496,59","1169831,8","3282565,7","498576,1","274363,7"
11,2014,"359773,9","67535,1","374744,2","77012,1","128609,3","30204,9","22957,5","1573858,8","642841,3","4007826,49","1128696,39","2043621,3","363030,4","266895,59"
12,2015,"982987,6","269673,9","907328,1","99650,1","115051,2","13598,6","25292,2","1604312,9","100845,5","583965,1","824402,8","1236094,7","256106,5","309415,2"
13,2016,"611172,7","74901,8","314154,9","402281,69","201869,4","22169,3",21804,"1024336,3","228739,1","637027,9","935864,5",2642793,"291436,2","371672,8"
14,2017,467844,"114533,5","421480,8","82347,9",254467,"29121,4","84491,9","1191746,69","496558,1","780195,7","1711535,7","2800550,3","297372,7","498566,3"
15,2018,"433333,6","108719,49","572755,09","70011,89","162876,1","25261,9","48520,5","916304,3","649780,2",739893,"1538644,89","1726008,3","229780,5","673320,6"
16,2019,"533165,8","440893,4","672883,3","157889,9","241799,8","10340,7","42895,2",767588,"385358,3","717583,2","1643572,9","1658212,2","283877,5","461136,3"
