0,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Республика Алтай,Республика Бурятия,Республика Тыва, Республика Хакасия,Алтайский край, Забайкальский край,Красноярский край,Иркутская область, Новосибирская область,Омская область,Томская область
2002,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2010,362715,97174,,54600,189980,33627,"60014,99","284060,99","168709,99","442035,99","420219,99",292761,158363,"119844,99"
2011,308806,106999,,"96165,99","246365,99",33819,64474,304891,198324,422787,469602,355165,233474,"115347,99"
2012,397251,162944,"385106,99","99764,99",302553,"36229,99",69016,340857,196106,464148,"558295,99","381531,99",296926,"116991,99"
2013,"456728,99","144552,99","401671,99","99764,99",309924,38298,65134,"346834,99","207735,99","612214,99",601806,568176,315899,"115645,99"
2014,"423365,99","114508,99","345848,99",105235,"251684,99",25763,"93941,99",303433,187179,"478637,99","559686,99",531256,287193,"94822,99"
2015,"398958,99",157285,"349311,99","129922,99",244628,23485,98906,"347622,99","171111,99",382842,"708452,99",405406,248838,"70491,99"
2016,"453930,99",139229,400218,"140445,99","260952,99","18354,99",53952,"321489,99","170843,99","445037,99",575881,"637120,99","177768,99","189645,99"
2017,"492977,99",156157,"451007,99",91307,"290187,99",22889,79232,394341,"177270,99",467276,"650221,99",677825,"223880,99",192340
2018,511652,163501,"559528,99",92433,"268764,99","20422,99",125627,402375,188585,"555200,99",733380,821249,"290339,99",207340
2019,"485098,99",208076,645375,110040,304293,24183,139439,"418221,99","196731,99","621561,99","784077,99","875096,99",314921,"191059,99"
