0,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Республика Алтай,Республика Бурятия,Республика Тыва, Республика Хакасия,Алтайский край, Забайкальский край,Красноярский край,Иркутская область, Новосибирская область,Омская область,Томская область
2002,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2010,136,67,    ,113,124,15,35,155,89,198,175,91,70,61
2011,138,59,    ,127,175,15,34,167,96,182,193,97,72,60
2012,164,72,74,131,193,17,36,202,105,216,202,117,75,59
2013,180,63,101,131,233,19,21,200,105,240,215,148,83,61
2014,182,64,107,105,203,17,41,188,114,211,240,150,85,58
2015,201,81,138,120,241,20,50,233,115,219,223,150,150,67
2016,236,87,148,100,256,17,39,232,117,265,211,166,173,141
2017,245,93,162,101,280,14,49,316,120,280,252,206,113,144
2018,250,100,169,103,254,17,54,315,123,301,272,205,139,168
2019,210,103,198,110,244,16,47,318,131,288,282,201,125,157
