0,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Республика Алтай,Республика Бурятия,Республика Тыва, Республика Хакасия,Алтайский край, Забайкальский край,Красноярский край,Иркутская область, Новосибирская область,Омская область,Томская область
2002,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2010,965877,298573,,"112405,99","376642,99",45010,142374,"521508,99",508978,1054919,"964198,99",706470,369255,"249418,99"
2011,"886058,99",418013,,"262723,99",484243,61074,184060,"552745,99",455635,1054905,1066258,"711008,99","473038,99",245460
2012,1280459,"490666,99",806084,237811,"628779,99",52955,"165633,99",670156,321641,1133376,1010432,"851551,99",644655,"244804,99"
2013,1376499,450729,"864815,99",237811,626896,59516,"175784,99","631507,99","351782,99",1376087,1243937,1049637,644636,219681
2014,"1321813,99",415274,"879985,99",241903,"454142,99","60613,99","476831,99","630826,99",320303,1057170,1107175,1048371,546901,"198855,99"
2015,1068336,302406,"942451,99",288012,"436745,99",50786,662261,"715713,99","298284,99",1087642,"898351,99","927453,99",502052,"168025,99"
2016,995512,"252037,99","957653,99",277168,457134,36835,"379482,99",788967,"341787,99","988548,99","928839,99",1330312,365424,"343986,99"
2017,1050727,"297168,99",913105,189593,603962,43027,"212909,99","959387,99",341073,"1374169,99",1093422,"1477582,99","448090,99",468973
2018,1141768,328119,1121993,191253,"472399,99",42735,"220017,99",864685,"396270,99",1311379,1260992,1664442,"872026,99","453660,99"
2019,1055237,394690,1130379,"227467,99",541500,"49618,99",235029,"971500,99",445321,1502771,1385637,"1847291,99","684701,99","414232,99"
