,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,,,,,,2002
1,,,,,,,,,,2004
2,,,,,,,,,,2005
3,,,,,,,,,,2006
4,,,,,,,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,"99,28",2010
8,,,,,,,,,"99,12",2011
9,,,,,,,,,"98,06",2012
10,,,,,,,,,"100,55",2013
11,,,,,,,,,"99,71",2014
12,,,,,,,,,"95,63",2015
13,,,,,,,,,"94,94",2016
14,,,,,,,,,"92,67",2017
15,,,,,,,,,"93,56",2018
16,,,,,,,,,"94,8",2019
