,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,0,0,,,,2002
1,,,,,,,,,,2004
2,,,,,9,2,,,,2005
3,,,,,27,2,,,,2006
4,,,,,19,2,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,,2010
8,,,,,,,,,,2011
9,,,,,,,,,,2012
10,,,,,,,,,,2013
11,,,,,,,,,,2014
12,,,,,,,,,,2015
13,,,,,,,,,,2016
14,,,,,,,,,,2017
15,,,,,,,,,,2018
16,,,,,,,,,,2019
