,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,228,44,,,,2002
1,,,,,305,56,,,,2004
2,,,,,375,76,,,,2005
3,,,,,435,77,,,,2006
4,,,,,453,87,,,,2007
5,,,,,479,100,,,,2008
6,,,,,413,95,,,,2009
7,"725600,3",155,"284060,99","521508,99",427,110,,25926,,2010
8,"847640,3",167,304891,"552745,99",455,121,"832542,4","28654,99",,2011
9,"927587,9",202,340857,670156,532,144,"1237937,4","38598,99",,2012
10,"888997,7",200,"346834,99","631507,99",511,147,"1943526,8","42021,99",,2013
11,"927467,7",188,303433,"630826,99",465,161,"1573858,8","35385,99",,2014
12,"906521,7",233,"347622,99","715713,99",525,167,"1604312,9","28460,99",,2015
13,"1055559,6",232,"321489,99",788967,,133,"1024336,3",25761,,2016
14,"1301872,39",316,394341,"959387,99",,155,"1191746,69",39899,,2017
15,"1479714,4",315,402375,864685,,160,"916304,3","41143,99",,2018
16,"1526298,6",318,"418221,99","971500,99",,164,767588,42197,,2019
