,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,500,50,,,,2002
1,,,,,475,65,,,,2004
2,,,,,"496,99",90,,,,2005
3,,,,,511,112,,,,2006
4,,,,,570,130,,,,2007
5,,,,,405,95,,,,2008
6,,,,,461,126,,,,2009
7,"1279836,5",175,"420219,99","964198,99",506,145,,44402,,2010
8,1475211,193,469602,1066258,747,207,"1096575,8","71010,99",,2011
9,"1633443,39",202,"558295,99",1010432,580,158,"889156,09","70116,99",,2012
10,"1807069,9",215,601806,1243937,716,202,"1169831,8","89355,99",,2013
11,"1689557,2",240,"559686,99",1107175,628,182,"1128696,39","80309,99",,2014
12,"1882464,6",223,"708452,99","898351,99",520,135,"824402,8",46704,,2015
13,"2275275,9",211,575881,"928839,99",,197,"935864,5",55322,,2016
14,"2549259,6",252,"650221,99",1093422,,248,"1711535,7",45642,,2017
15,"2854936,6",272,733380,1260992,,251,"1538644,89","49506,99",,2018
16,"3299993,2",282,"784077,99",1385637,,227,"1643572,9","35442,99",,2019
