,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,736,37,,,,2002
1,,,,,672,51,,,,2004
2,,,,,651,59,,,,2005
3,,,,,593,75,,,,2006
4,,,,,535,77,,,,2007
5,,,,,574,97,,,,2008
6,,,,,611,111,,,,2009
7,"1215284,4",198,"442035,99",1054919,836,145,,40621,,2010
8,1360547,182,422787,1054905,756,170,"3369786,7",48953,,2011
9,"1575651,7",216,464148,1133376,943,283,"4059567,7",67610,,2012
10,"1760334,49",240,"612214,99",1376087,1091,314,"4673496,59","78458,99",,2013
11,"1777793,29",211,"478637,99",1057170,1030,335,"4007826,49",61407,,2014
12,1650461,219,382842,1087642,803,330,"583965,1",55116,,2015
13,"2054491,79",265,"445037,99","988548,99",,343,"637027,9",45562,,2016
14,"2332009,6",280,467276,"1374169,99",,351,"780195,7",55067,,2017
15,"2777702,4",301,"555200,99",1311379,,363,739893,57164,,2018
16,"2972394,2",288,"621561,99",1502771,,333,"717583,2",50360,,2019
