,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,,,,,,2002
1,,,,,,,,,,2004
2,,,,,,,,,,2005
3,,,,,,,,,,2006
4,,,,,,,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,"100,49",2010
8,,,,,,,,,"100,39",2011
9,,,,,,,,,"100,46",2012
10,,,,,,,,,"99,39",2013
11,,,,,,,,,"97,73",2014
12,,,,,,,,,"97,88",2015
13,,,,,,,,,"96,9",2016
14,,,,,,,,,"94,89",2017
15,,,,,,,,,"95,29",2018
16,,,,,,,,,"94,69",2019
