,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,306,50,,,,2002
1,,,,,499,72,,,,2004
2,,,,,625,84,,,,2005
3,,,,,783,108,,,,2006
4,,,,,848,117,,,,2007
5,,,,,875,117,,,,2008
6,,,,,"961,99",165,,,,2009
7,"1184190,3",91,292761,706470,1186,236,,"140764,99",,2010
8,"1572685,8",97,355165,"711008,99",1217,273,"2428267,29","141962,99",,2011
9,"1955636,6",117,"381531,99","851551,99",1277,277,"3045301,4","145444,99",,2012
10,"2365089,29",148,568176,1049637,1275,283,"3282565,7",153550,,2013
11,"2344230,19",150,531256,1048371,1176,286,"2043621,3","124112,99",,2014
12,"1782228,9",150,405406,"927453,99",972,268,"1236094,7",97179,,2015
13,"2771074,2",166,"637120,99",1330312,,222,2642793,"114702,99",,2016
14,"3117069,2",206,677825,"1477582,99",,327,"2800550,3","144203,99",,2017
15,"3376319,2",205,821249,1664442,,342,"1726008,3","110276,99",,2018
16,"3793406,9",201,"875096,99","1847291,99",,286,"1658212,2",91078,,2019
