,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,325,58,,,,2002
1,,,,,414,83,,,,2004
2,,,,,424,98,,,,2005
3,,,,,462,106,,,,2006
4,,,,,503,115,,,,2007
5,,,,,475,115,,,,2008
6,,,,,469,120,,,,2009
7,"452391,8",70,158363,369255,508,143,,43610,,2010
8,"682851,5",72,233474,"473038,99",530,166,"374710,7",41731,,2011
9,"886018,9",75,296926,644655,602,191,409964,50451,,2012
10,"1041200,4",83,315899,644636,623,209,"498576,1","55169,99",,2013
11,"1070380,5",85,287193,546901,673,226,"363030,4",51012,,2014
12,"1108145,6",150,248838,502052,545,206,"256106,5",41408,,2015
13,"848321,3",173,"177768,99",365424,,186,"291436,2",27310,,2016
14,"920007,7",113,"223880,99","448090,99",,220,"297372,7",35254,,2017
15,"1202470,5",139,"290339,99","872026,99",,207,"229780,5","41170,99",,2018
16,"1279288,1",125,314921,"684701,99",,220,"283877,5","46085,99",,2019
