,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,14,4,,,,2002
1,,,,,341,23,,,,2004
2,,,,,23,12,,,,2005
3,,,,,18,10,,,,2006
4,,,,,26,7,,,,2007
5,,,,,75,14,,,,2008
6,,,,,103,18,,,,2009
7,"123369,4",113,54600,"112405,99",300,61,,7184,,2010
8,265508,127,"96165,99","262723,99",212,57,90287,4741,,2011
9,"269770,3",131,"99764,99",237811,204,57,"65678,1",9654,,2012
10,"269770,3",131,"99764,99",237811,227,60,"107217,5","13558,99",,2013
11,"425207,4",105,105235,241903,181,61,"77012,1",5633,,2014
12,"720724,6",120,"129922,99",288012,349,79,"99650,1",5923,,2015
13,"1015143,3",100,"140445,99",277168,,73,"402281,69",8795,,2016
14,"624930,69",101,91307,189593,,29,"82347,9",5365,,2017
15,"682875,7",103,92433,191253,,22,"70011,89",4812,,2018
16,"851700,69",110,110040,"227467,99",,24,"157889,9",7337,,2019
