,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,102,8,,,,2002
1,,,,,188,21,,,,2004
2,,,,,195,23,,,,2005
3,,,,,213,23,,,,2006
4,,,,,193,28,,,,2007
5,,,,,237,41,,,,2008
6,,,,,198,41,,,,2009
7,"484863,1",124,189980,"376642,99",262,58,,"26696,99",,2010
8,"598606,1",175,"246365,99",484243,238,48,"162833,2",27095,,2011
9,"773250,8",193,302553,"628779,99",237,57,"270302,6","37371,99",,2012
10,"791893,1",233,309924,626896,179,42,"180425,8",19900,,2013
11,"733217,6",203,"251684,99","454142,99",201,42,"128609,3",20968,,2014
12,"733627,8",241,244628,"436745,99",139,51,"115051,2",24473,,2015
13,769151,256,"260952,99",457134,,54,"201869,4",23886,,2016
14,"711432,8",280,"290187,99",603962,,43,254467,11879,,2017
15,"721899,3",254,"268764,99","472399,99",,53,"162876,1","11871,99",,2018
16,"825707,9",244,304293,541500,,54,"241799,8",19254,,2019
