0,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни
2002,,,,,143,7,,,
2004,,,,,194,8,,,
2005,,,,,53,13,,,
2006,,,,,35,9,,,
2007,,,,,91,17,,,
2008,,,,,86,22,,,
2009,,,,,70,16,,,
2010,,35,"60014,99",142374,89,26,,4432,
2011,,34,64474,184060,80,27,"70061,4",4964,
2012,,36,69016,"165633,99",82,25,"46698,7",5898,
2013,,21,65134,"175784,99",87,31,272510,6355,
2014,,41,"93941,99","476831,99",88,43,"22957,5","6624,99",
2015,,50,98906,662261,95,43,"25292,2",5734,
2016,,39,53952,"379482,99",,37,21804,"2957,99",
2017,,49,79232,"212909,99",,49,"84491,9",6888,
2018,,54,125627,"220017,99",,51,"48520,5",7216,
2019,,47,139439,235029,,41,"42895,2",5997,
