,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,,,,,,2002
1,,,,,,,,,,2004
2,,,,,,,,,,2005
3,,,,,,,,,,2006
4,,,,,,,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,"118,89",2010
8,,,,,,,,,"118,81",2011
9,,,,,,,,,"121,29",2012
10,,,,,,,,,"118,92",2013
11,,,,,,,,,"117,33",2014
12,,,,,,,,,"114,3",2015
13,,,,,,,,,"109,44",2016
14,,,,,,,,,"106,26",2017
15,,,,,,,,,"109,32",2018
16,,,,,,,,,"110,6",2019
