0,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни
2002,,,,,"175,5",45,,,
2004,,,,,225,54,,,
2005,,,,,245,62,,,
2006,,,,,274,66,,,
2007,,,,,381,70,,,
2008,,,,,323,76,,,
2009,,,,,309,83,,,
2010,"473174,4",61,"119844,99","249418,99",381,95,,"23344,99",
2011,"493720,7",60,"115347,99",245460,483,128,"269156,2","27697,99",
2012,"501149,79",59,"116991,99","244804,99",439,131,"262660,59",25024,
2013,"491025,7",61,"115645,99",219681,500,139,"274363,7","37935,99",
2014,"417181,4",58,"94822,99","198855,99",516,149,"266895,59","41458,99",
2015,"535920,4",67,"70491,99","168025,99",418,116,"309415,2","30996,99",
2016,"705352,8",141,"189645,99","343986,99",,116,"371672,8","21147,99",
2017,"721877,7",144,192340,468973,,133,"498566,3","21184,99",
2018,"747416,6",168,207340,"453660,99",,146,"673320,6",25874,
2019,"845138,1",157,"191059,99","414232,99",,108,"461136,3",20966,
