,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,,,,,,2002
1,,,,,,,,,,2004
2,,,,,,,,,,2005
3,,,,,,,,,,2006
4,,,,,,,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,"97,2",2010
8,,,,,,,,,"98,36",2011
9,,,,,,,,,"99,51",2012
10,,,,,,,,,"97,93",2013
11,,,,,,,,,"98,06",2014
12,,,,,,,,,"98,58",2015
13,,,,,,,,,"97,18",2016
14,,,,,,,,,"96,47",2017
15,,,,,,,,,"97,23",2018
16,,,,,,,,,"97,9",2019
