,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,308,40,,,,2002
1,,,,,208,37,,,,2004
2,,,,,223,43,,,,2005
3,,,,,277,48,,,,2006
4,,,,,361,62,,,,2007
5,,,,,361,67,,,,2008
6,,,,,207,51,,,,2009
7,"2228536,39",136,362715,965877,345,88,,20519,,2010
8,"2040628,19",138,308806,"886058,99",325,96,"250289,59","26776,99",,2011
9,"2465505,6",164,397251,1280459,436,114,"262968,49",30207,,2012
10,"2720895,1",180,"456728,99",1376499,500,148,"299289,9",36163,,2013
11,"2954950,8",182,"423365,99","1321813,99",553,161,"359773,9","37618,99",,2014
12,"2515767,7",201,"398958,99",1068336,370,118,"982987,6",16736,,2015
13,2442687,236,"453930,99",995512,,121,"611172,7",20550,,2016
14,"2264695,5",245,"492977,99",1050727,,149,467844,42539,,2017
15,"2089543,19",250,511652,1141768,,158,"433333,6",33817,,2018
16,"2282701,6",210,"485098,99",1055237,,153,"533165,8",35231,,2019
